session;joueur;hostname;understanding_faults;final_payoff;id;partie_partie_id;PGG_period;PGG_treatment;PGG_group;PGG_indiv;PGG_public;PGG_publicgroup;PGG_decisiontime;PGG_indivpayoff;PGG_publicpayoff;PGG_periodpayoff;PGG_cumulativepayoff;partie_id;naissance;genre;nationalite;couple;etudiant;etudiant_discipline;etudiant_niveau;experiences;fratrie_nombre;fratrie_rang;sportif;sportif_type;sportif_competition;religion_place;religion_croyance;religion_nom
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;14;57;1;0;201802021036_g_4;17;3;12;51;17.0;6.0;23.0;23.0;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;34;57;2;0;201802021036_g_4;20;0;7;16;20.0;3.5;23.5;46.5;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;54;57;3;0;201802021036_g_4;13;7;16;22;13.0;8.0;21.0;67.5;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;74;57;4;0;201802021036_g_4;18;2;12;20;18.0;6.0;24.0;91.5;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;94;57;5;0;201802021036_g_4;19;1;3;21;19.0;1.5;20.5;112.0;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;114;57;6;0;201802021036_g_4;15;5;5;10;15.0;2.5;17.5;129.5;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;134;57;7;0;201802021036_g_4;20;0;1;3;20.0;0.5;20.5;150.0;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;154;57;8;0;201802021036_g_4;16;4;4;18;16.0;2.0;18.0;168.0;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;174;57;9;0;201802021036_g_4;20;0;0;13;20.0;0.0;20.0;188.0;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
201802021036;201802021036_j_0;LEEM2-PC19;0;8.32;194;57;10;0;201802021036_g_4;20;0;0;3;20.0;0.0;20.0;208.0;2;2001;0;76;1;1;None;None;0;0;0;1;None;None;4;4;7
